date_time,date_only,time_only,total_demand,price_category,rrp,demand_daily_average,demand_max_cat_average,rrp_max_cat_average,price_cat_daily_max,price_cat_daily_max_n,min_temp,max_temp,rainfall,evaporation,sunshine,max_wind_dir,max_wind_speed,max_wind_time,9am_temp,9am_rela_humi,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_rela_humi,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press,month
2023-03-01 18:00:00,2023-03-01,18:00:00,5260.77,EXTREME,132.61,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 18:30:00,2023-03-01,18:30:00,5277.37,EXTREME,136.15,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 19:00:00,2023-03-01,19:00:00,5221.79,HIGH,115.04,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 19:30:00,2023-03-01,19:30:00,5259.31,HIGH,110.04,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 20:00:00,2023-03-01,20:00:00,5199.85,HIGH,106.45,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 20:30:00,2023-03-01,20:30:00,5063.71,HIGH,97.02,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 21:00:00,2023-03-01,21:00:00,4976.43,HIGH,79.74,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 21:30:00,2023-03-01,21:30:00,4743.3,HIGH,79.74,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 22:00:00,2023-03-01,22:00:00,4624.77,HIGH,79.89,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 22:30:00,2023-03-01,22:30:00,4600.9,HIGH,96.97,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 23:00:00,2023-03-01,23:00:00,4486.93,HIGH,80.66,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-01 23:30:00,2023-03-01,23:30:00,4759.81,HIGH,88.79,4487.52,5047.5325,136.5675,EXTREME,3,14.3,21.1,3.2,2.0,4.4,SSW,28.0,10:36,14.9,94,7,W,7.0,1013.3,20.7,61,7,SSW,9.0,1013.2,3
2023-03-02 00:00:00,2023-03-02,00:00:00,4596.47,HIGH,92.87,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 00:30:00,2023-03-02,00:30:00,4471.26,HIGH,101.86,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 01:00:00,2023-03-02,01:00:00,4350.27,HIGH,88.55,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 01:30:00,2023-03-02,01:30:00,4230.8,HIGH,79.8,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 02:00:00,2023-03-02,02:00:00,4110.19,HIGH,88.06,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 02:30:00,2023-03-02,02:30:00,4127.8,HIGH,87.71,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 03:00:00,2023-03-02,03:00:00,4029.28,HIGH,88.78,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 03:30:00,2023-03-02,03:30:00,4122.34,HIGH,100.71,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 04:00:00,2023-03-02,04:00:00,4170.41,HIGH,108.32,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 04:30:00,2023-03-02,04:30:00,4294.52,HIGH,99.24,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 05:00:00,2023-03-02,05:00:00,4406.63,HIGH,106.68,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 05:30:00,2023-03-02,05:30:00,4655.37,EXTREME,128.02,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 06:00:00,2023-03-02,06:00:00,4980.83,EXTREME,128.02,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 06:30:00,2023-03-02,06:30:00,5403.88,EXTREME,155.45,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 07:00:00,2023-03-02,07:00:00,5414.26,HIGH,92.9,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 07:30:00,2023-03-02,07:30:00,5308.41,HIGH,79.74,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 08:00:00,2023-03-02,08:00:00,5180.0,HIGH,79.74,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 08:30:00,2023-03-02,08:30:00,5069.82,HIGH,79.74,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 09:00:00,2023-03-02,09:00:00,5034.5,HIGH,86.47,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 09:30:00,2023-03-02,09:30:00,4848.93,MEDIUM,20.26,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 10:00:00,2023-03-02,10:00:00,4688.69,MEDIUM,20.26,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 10:30:00,2023-03-02,10:30:00,4583.38,LOW,-21.68,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 11:00:00,2023-03-02,11:00:00,4619.31,MEDIUM,39.56,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 11:30:00,2023-03-02,11:30:00,4552.59,LOW,-6.06,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 12:00:00,2023-03-02,12:00:00,4523.1,MEDIUM,17.72,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 12:30:00,2023-03-02,12:30:00,4491.55,MEDIUM,9.0,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 13:00:00,2023-03-02,13:00:00,4331.19,LOW,-44.0,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 13:30:00,2023-03-02,13:30:00,4344.66,LOW,-44.0,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 14:00:00,2023-03-02,14:00:00,4304.44,LOW,-32.94,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 14:30:00,2023-03-02,14:30:00,4297.81,LOW,-18.69,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 15:00:00,2023-03-02,15:00:00,4292.38,LOW,-38.0,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 15:30:00,2023-03-02,15:30:00,4479.35,LOW,-37.97,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 16:00:00,2023-03-02,16:00:00,4762.98,LOW,4.95,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 16:30:00,2023-03-02,16:30:00,4884.37,MEDIUM,9.0,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 17:00:00,2023-03-02,17:00:00,5183.57,MEDIUM,19.11,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 17:30:00,2023-03-02,17:30:00,5162.94,MEDIUM,22.12,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 18:00:00,2023-03-02,18:00:00,5339.35,EXTREME,132.77,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 18:30:00,2023-03-02,18:30:00,5368.91,EXTREME,162.02,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 19:00:00,2023-03-02,19:00:00,5363.47,EXTREME,128.02,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 19:30:00,2023-03-02,19:30:00,5351.97,EXTREME,120.58,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 20:00:00,2023-03-02,20:00:00,5305.61,HIGH,110.32,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 20:30:00,2023-03-02,20:30:00,5117.93,HIGH,82.83,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 21:00:00,2023-03-02,21:00:00,4856.18,HIGH,79.74,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 21:30:00,2023-03-02,21:30:00,4794.92,HIGH,79.74,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
2023-03-02 22:00:00,2023-03-02,22:00:00,4571.12,HIGH,75.79,4710.5216666666665,5209.111428571428,136.41142857142856,EXTREME,3,14.5,21.7,0.8,3.8,1.3,SSW,26.0,14:14,16.1,73,7,WSW,9.0,1014.8,21.2,59,7,SW,9.0,1014.3,3
